"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7464","test_login","","Mon Apr 14 16:45:31 CST 2025","passed","Mon Apr 14 16:45:39 CST 2025","TestLogin","test_i_main","",""
"","1","test_with_critical_severity","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","14155","查询已签约居民","","Mon Apr 14 16:45:46 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestSigned","test_i_main","",""
"","0","test_get_tnb2_info","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","0","test_get_tnb1_info","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","6913","高血压管理卡 新增","","Mon Apr 14 16:45:39 CST 2025","passed","Mon Apr 14 16:45:46 CST 2025","TestEHR","test_i_main","",""
"","0","test_with_minor_severity","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","4","test_get_issue_info","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","0","test_with_trivial_severity","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","1","test_step","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","1","这是一个normal级别的问题","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","0","test_get_testcase_info","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
"","0","test_with_blocker_severity","","Mon Apr 14 16:46:00 CST 2025","passed","Mon Apr 14 16:46:00 CST 2025","TestFunction","test_i_main","",""
